relative_path,filename,format,size_bytes,modified_time_utc,sha256,apparent_vintage,geographic_vintage,source_role,selected,source_url,crosswalk_candidate,physical_row_count,observed_header_column_count
Crosswalk/SOURCE_LINKS.md,SOURCE_LINKS.md,md,1250,2026-08-15T02:52:08.873857+00:00,e9d3324aaa4a22c78ad08f0c5c95fa14af2dc389639a9cb52296a2ecafac48b3,,,candidate_or_historical_source,false,,false,,
Crosswalk/ZIPCodetoZCTACrosswalk2024UDS.xlsx,ZIPCodetoZCTACrosswalk2024UDS.xlsx,xlsx,1496234,2026-08-15T02:52:01.238642+00:00,29e5a007c6825a17336dde863ea35ae35de8b142fe224279f2ec241bd69a249f,,HRSA 2024 release; Census TIGER 2023 ZCTA boundaries; June 2023 ZIP boundaries,selected_zip_zcta_state_crosswalk,true,https://data.hrsa.gov/DataDownload/GeoCareNavigator/ZIPCodetoZCTACrosswalk2024UDS.xlsx,true,,
HH Data/ACSDT5Y2020.B19013-Column-Metadata.csv,ACSDT5Y2020.B19013-Column-Metadata.csv,csv,298,2026-03-30T19:10:36+00:00,835c351b6b4202717b8a7340502340b3fb6b20c321d6d49557fe674b186f1c47,2020,2020,candidate_or_historical_source,false,,false,5,2
HH Data/ACSDT5Y2020.B19013-Data.csv,ACSDT5Y2020.B19013-Data.csv,csv,1557974,2026-03-30T19:10:36+00:00,32da96e5ae592c1a81eed312bb2a6a82e96418ce5f71d678023b8f8556020201,2020,2020,candidate_or_historical_source,false,,false,33122,5
HH Data/ACSDT5Y2020.B19013-Table-Notes.txt,ACSDT5Y2020.B19013-Table-Notes.txt,txt,5727,2026-03-30T19:10:36+00:00,836e27e0586532d0671b84363ab4be46595b16bc82ec32c9fa4d7581c749b18d,2020,2020,candidate_or_historical_source,false,,false,,
HH Data/ACSDT5Y2021.B19013-Column-Metadata.csv,ACSDT5Y2021.B19013-Column-Metadata.csv,csv,298,2026-03-30T19:10:36+00:00,46eb92c4b240d3af3796a63b4a9d61adc81e613aeca34fe0bd5a05c1dd9efa36,2021,2021,candidate_or_historical_source,false,,false,5,2
HH Data/ACSDT5Y2021.B19013-Data.csv,ACSDT5Y2021.B19013-Data.csv,csv,1587225,2026-03-30T19:10:36+00:00,ec761e4d1e25788674b9c2031b3ff7f1923901b196e559e18187fd76a776d556,2021,2021,candidate_or_historical_source,false,,false,33776,5
HH Data/ACSDT5Y2021.B19013-Table-Notes.txt,ACSDT5Y2021.B19013-Table-Notes.txt,txt,5707,2026-03-30T19:10:36+00:00,0830d0cae0cd1aa27b267ad660ce3031fa917569336d4bc022488e66dcf02728,2021,2021,candidate_or_historical_source,false,,false,,
HH Data/ACSDT5Y2022.B19013-Column-Metadata.csv,ACSDT5Y2022.B19013-Column-Metadata.csv,csv,298,2026-03-30T19:10:22+00:00,0dce785a604a22cd7c5c11e52e79fae8fa14e3fb6597ad5521aff6bf4bf31179,2022,2022,candidate_or_historical_source,false,,false,5,2
HH Data/ACSDT5Y2022.B19013-Data.csv,ACSDT5Y2022.B19013-Data.csv,csv,1589653,2026-03-30T19:10:20+00:00,951d9c4520e208c6739f428922f73411f84ff9e11e08cabff6dfc72681022e88,2022,2022,candidate_or_historical_source,false,,false,33776,5
HH Data/ACSDT5Y2022.B19013-Table-Notes.txt,ACSDT5Y2022.B19013-Table-Notes.txt,txt,6026,2026-03-30T19:10:22+00:00,066cc127f6eda1e4cf1277ec3a157bc22c637c0fc0624c0e0f9e8d672f0a2d13,2022,2022,candidate_or_historical_source,false,,false,,
HH Data/ACSDT5Y2023.B19013-Column-Metadata.csv,ACSDT5Y2023.B19013-Column-Metadata.csv,csv,298,2026-03-30T19:10:20+00:00,b711d562bf2ca6de65f837163871275e7664cad82f602aa19c7fc15428cc393e,2023,2023,candidate_or_historical_source,false,,false,5,2
HH Data/ACSDT5Y2023.B19013-Data.csv,ACSDT5Y2023.B19013-Data.csv,csv,1591079,2026-03-30T19:10:18+00:00,228df38d2d56c5cba8349a8997352d186038288e78ae49ce1038ae0a7d35574c,2023,2023,candidate_or_historical_source,false,,false,33774,5
HH Data/ACSDT5Y2023.B19013-Table-Notes.txt,ACSDT5Y2023.B19013-Table-Notes.txt,txt,6113,2026-03-30T19:10:20+00:00,30a590ae8883c9f336b002dd1c7791f7ca44f097ba7ab32a4b33521f66c05ea9,2023,2023,candidate_or_historical_source,false,,false,,
HH Data/ACSDT5Y2024.B19013-Column-Metadata.csv,ACSDT5Y2024.B19013-Column-Metadata.csv,csv,298,2026-03-30T19:10:18+00:00,bd97576ed693e3aaa69c63686894dca7085c3dcf084f3a4696a43f2c0922510b,2024,2024,selected_column_metadata,true,,false,5,2
HH Data/ACSDT5Y2024.B19013-Data.csv,ACSDT5Y2024.B19013-Data.csv,csv,1591696,2026-03-30T19:10:18+00:00,b4f59c2a023b40f150df20ad2a54a29d4d3daa6f1128e7a90981951a02983915,2024,2024,selected_acs_data,true,https://data.census.gov/table/ACSDT5Y2024.B19013?q=B19013,false,33774,5
HH Data/ACSDT5Y2024.B19013-Table-Notes.txt,ACSDT5Y2024.B19013-Table-Notes.txt,txt,11500,2026-03-30T19:10:18+00:00,dda21ce28a9e6f1687792a816dbb0295b7a4c70064b98d5aff7fdc8fff4929d0,2024,2024,selected_table_notes,true,,false,,
